texto,classes_problema
quando é para elogiar a gente ir hoje na hora de reclamar você sabe que a gente também faz a cadela precisa ficar mais atenta aos problemas no bairro de Cruz das Armas são três buracos na mesma rua cada um maior que o outro muita água limpa jogada fora muito trator para os moradores tem problema tem calendário JPB junto com a comunidade a rua do Rio é uma das vias mais importantes do bairro de Cruz das Armas e a nossa equipe foi chamada hoje aqui porque os moradores não estão nada satisfeitos com os serviços da Cagepa esse aqui é um dos exemplos era um vazamento da água pequeno de repente afundou mesmo e aí um caminhão passou o carro pequeno caiu não passa carro aqui porque o pessoal cada vez que tá passando o carro aqui tá afundando tá afundando tá cedendo cedendo E aí a gente vai parar aonde desse jeito é esse não é o único problema que parece não ser visto pela Cagepa tem mais gente É vazamento de água limpa é seu Nildo aqui bem na frente da sua casa isso é água limpa quanto tempo Jornal 15 dias já sabe disso sabe disso já liguei umas cinco vezes ou mais de cinco vezes e ninguém vem aparece ninguém aqui na parada do ano a gente pode ficar na parada do ônibus tá tomando banco carro passa começou bonequinho pequeno ao tamanho do buraco já está a situação é pior gente porque tem mais um outro problema relacionado a Cagepa lá na frente aqui literalmente o problema é maior gente é um buraco muito grande como é para senhora ter um negócio desse na frente da sua casa é o jeito minha querida é o jeito porque esse telefone a resposta é tá ocupado meu telefone das pessoas que vão para igreja a idosas para não passar ali com medo do ônibus vai passar por aqui ver na hora de tirar do outro lado aqui olha só mas outro vazamento no meio do caminho ele tá começando agora mas não vai demorar muito para se transformar no outro buraco né porque o asfalto vai ser limpa gente Água Limpa limpa limpa Clarinha olha só é a rua do Rio literalmente agora aqui gente eu vazamento que eu nunca tinha visto visto nesse tempo todo de reportagem é muita água sendo jogada o tempo inteiro atrapalha muito eu tô com medo até de interferir na entrada do carro aqui em casa essa situação não tem dúvidas Gente esse é um caso para o calendário,outros(saneamento)
mercado do Geisel eu tava cheio de problemas Quando o calendário JPB chegou por lá aos poucos a situação foi mudando e hoje Na oitava volta na nossa equipe tem mais uma novidade o esgoto sempre foi um problemão para os Comerciantes do mercado do Geisel e hoje o calendário JPB veio aqui para mostrar que se tem um Buracão aqui aberto na rua é porque tem novidade eu Moisés a gente sabe que quando a gente chegou aqui o mercado não tinha um problema tinha vários né e assim a gente tem acompanhado a luta de vocês para vencer cada um desses obstáculos vocês Já conseguiram retirar daqui um chão terrível que existe aqui Já conseguiram também bem a reforma do banheiro conseguiram que alguns boxes abandonados fossem demolidas dessa área e que uma fosse aberto o espaço livre para que futuramente possa acontecer uma feira nesse local mas ficou faltando ainda algumas outras lutas né E uma delas era o esgoto que é que tá acontecendo aqui é surpresa boa né porque eles abriram um buraco na rua é para trocar a tubulação E se entupindo o esgoto aqui é só tô fazendo o serviço certo o esgoto é uma responsabilidade da Cagepa a gente sabe mas o pessoal da central tava me explicando que por se tratar de uma área de mercado Quem geralmente faz esse serviço aqui é o pessoal da secretaria de infraestrutura hoje eles estão trocando a tubulação do esgoto ele já começaram esse serviço já algum tempo EA expectativa é que nos os dias ainda esse mês esse serviço seja concluído Hoje ele tá vendo uma promessa que tá sendo cumprida eleição de olho fiscalizando para que dê tudo certo não fica de olho não eu não só eu e o Junior e nosso amigo lá estamos de olho aberto e com ajuda de sua ajuda muito importante para qualquer dia desse mercado e aí resolvendo esse problema do esgoto a gente parte para mais um desafio né Moisés tem aí a questão da Feira a prefeitura tá prometendo que vai fazer um piso né um piso para que a feira venha para cá né Isso quer dizer é uma solução né Eu acho que o que a gente conversou com os meninos seria perfeitamente possível para a gente fazer a terraplanagem de todas essas ruas deixar elas de forma que a acessibilidade das pessoas não tivesse nenhum bloqueio né E essa área ouvir a demolição e onde está ocorrendo a feira livre tivesse área toda pavimentada isso aí a curto prazo a gente conseguir resolver uma coisa que era um benefício a mais para o mercado porque o projeto maior a esse já requer mais tempo eu acredito seu Moisés que com piso aqui seja melhor para o comerciante vender suas frutas suas ver,ruas
calendário JPB fez uma pequena parada e até o fim do ano você vai conferir alguns casos resolvidos de 2013 um deles foi em Cabedelo lá os moradores chamaram calendário para resolver o problema de uma rua veja o maior problema dos moradores da Rua São Francisco aqui no bairro de camalaú em Cabedelo É o esquecimento das autoridades tá vendo esse calçamento aqui quebrado não foi a chuva nem foi o vento que fez isso não isso aqui Quem fez foi a Cagepa em maio do ano passado nós estamos em março de 2013 e a situação tá assim do mesmo jeito e não é por falta de cobrança dos moradores não isso aqui é o orçamento feito pela Cagepa tá que o símbolo da companhia de água e esgotos da Paraíba o valor cobrado pelo serviço morado pagou por esse serviço a Cagepa veio aqui fez o trabalho quebrou o calçamento e deixou tudo assim fui na prefeitura quando é que vai começar Tá vendo certo para que aproveitam Providência com a Cagepa e nem tanto aqui tudo parado Antônio É de Carlos Jonas Edilson a gente vai procurar a Cagepa e vai trazer uma resposta para vocês com data marcada para esse problema ser resolvido esse aqui é o compromisso do calendário a gente veio aqui pela primeira vez no dia 7 de Março é isso que a partir daí eu fui em busca da Cagepa em busca de uma solução para o problema dos moradores dessa rua que aí eu vou marcar a data no calendário agora a data que o problema foi resolvido Olha só 16 de Março moradores daqui esperaram por quase um ano para que esse problema fosse resolvido urgente E aí em menos de 10 dias vem a solução TV Cabo Branco né que se não fosse vocês aqui jamais teria funcionado em tempo hábil resolvido gente olha só esse é o carimbo que o calendário gosta de ser já já você confere outra reportagem com o calendário resolvido nesse ano os moradores da ilha do Bispo aqui na capital vão ter um Natal com água nas torneiras o que parece uma coisa comum para muitos moradores para eles era algum acontecerá quase duas semanas aí você imagina eles pediram ajuda o JPB a gente mostrou as dificuldades dessa vida se não podiam lavar a louça roupa e até mesmo cozinhar a Cagepa ouvir o nosso apelo e o fornecimento de água foi normalizado como mostra a reportagem de estrela Davi estamos de volta à comunidade ilha do Bispo Essa é a Rua Severino Bezerra dos Santos e diferente da última vez em que estivemos aqui quando os moradores sofriam com falta da água há mais de oito dias agora a gente voltou para trazer uma boa notícia para esses moradores é que a água Enfim chegou as torneiras com seguinte a caixa d'água consegui lavar roupa que tava suja também né que era por demais pode entrar,ruas
no começo do mês do calendário JPB Voltou ao ginásio Padre hildon Bandeira Você lembra dessa história pois a situação lá é de abandono E desde novembro de 2011 que o calendário se juntou os moradores para buscar uma solução para o local né eles querem a reforma do ginásio pariu da Bandeira gente um espaço que já serviu muito para incentivar o esporte EA cultura nos bairros Olha só Torres tambauzinho Expedicionários em locais próximos também o ginásio que pertence à arquidiocese da Paraíba passou três anos sobre administração do Estado está abandonado como vocês podem ver os para recuperar o local arquidiocese disse que precisa de uma parceria então a prefeitura se interessou pelo ginásio e Desde o ano passado entrou em negociação com arquidiocese pois bem no início do mês a Prefeitura de Empregada uma contraproposta Costa arquidiocese E hoje é dia de definição Claro o calendário JPB volta ao ginásio vamos ver como foi 22 de abril data marcada no calendário nossa equipe está de volta para dar resposta a comunidade aqui da Torre Padre hildon Bandeira Será que a Ju diocese aceitou a proposta da prefeitura esse ginásio enfim vai ser reconstruído reestruturado e devolvido à comunidade como saber se estou ansiosa né foi consumido no final de semana agora para cá duas toneladas de camomila a gente nervoso com esse problema aqui Dona disse que vai casar mesmo tudo bem Tá na sociedade ansiedade tem mais será que esse calçamento o que quer dizer será que o ginásio sai sai que eu vou casar olha só tá usando ali né não representa site da Prefeitura o secretário e ali o advogado da arquidiocese como sempre a gente faz aqui que é para dar sorte Nossa negociação ela dentro vamos lá dessa vez quase que é dentro da Lama mesmo que choveu vocês estão vendo aí Ó já destelharam ginásio toda além do lixo hoje tem água tem lama tá uma sujeira na nada mas está acabando você sabe da outra vez que a gente teve aqui como é que a gente tava aqui a prefeitura tava analisando uma proposta da arquidiocese E aí enviaria uma contraproposta para que o Sesi 22 de abril era o prazo final para arquidiocese dizer se aceitava ou não essa contraproposta da prefeitura Doutor Marcelo para cá para comunidade quer saber arquidiocese aceita ou não aceita proposta da prefeitura após algumas reuniões após o envio do ofício a gente chegou a um consenso e vamos fazer o contrato de locação junto com a prefeitura,outros(obras)
tá na hora do calendário e o sentimento hoje é de falta de esperança mas não da nossa equipe viu dos moradores a gente vai até o final tô falando do prédio abandonado do centro da Juventude lá em Mangabeira o lugar já deveria ter sido reformado deveria estar funcionando tirando os jovens das ruas mas infelizmente nada quem esteve em Mangabeira para conferir a situação foi a repórter Larissa Pereira nesta visita do calendário ao bairro de Mangabeira teve parabéns para o representante da prefeitura que fazia aniversário na data marcada para nossa volta mas foi generosidade de seu Noel viu em volta do prédio que eles esperam a reforma o cenário é de desprezo exatamente como os moradores se sentem a anos desprezados eu deveria estar caminhando por um Jardim Florido Ou pelo menos por um canteiro de obras aqui deveria estar dividindo espaço com sacos de cimento tijolos Pelo menos foi assim que a prefeitura nos prometeu que a gente encontrar esse espaço aqui em obras as promessas elas vem desde 2014 as obras aqui do centro de referência da Juventude foram retomadas em 2014 mas no mesmo ano pararam foram várias justificativas entre elas a de que a empresa que estava fazendo as obras aqui faliu mas os moradores eles querem o espaço de volta que já funcionou uma vez jovem já circularam por aqui nesse espaço que hoje está ocupado pelo Mato e pelo lixo a gente voltou na data marcada na esperança de encontrar esse ambiente bem diferente né com trabalhadores com pessoas mudando essa cena aqui mas por enquanto que a gente vê é que nada andou a situação da gente minha por exemplo que fica lutando por esse aqui eu fico encabulado eu já te falar com a comunidade aqui porque todo mundo mas não é eu você ainda tá nessa isso aí não vou fazer falei com o próprio prefeito prefeito o senhor tem interesse em manter aquele centro da Juventude a conversa foi uma só que não tinha o dinheiro a firma tinha falido a obra estava em andamento tava tava em processo Estação eu sei de Larissa Como essas conversas e essas coisas fazem 3 anos que a gente tá lutando com esse aqui é o terceiro calendário que eu fico e qual é a minha cara para o povo que tá eu estou representando então isso é uma coisa que para mim,outros(obras)
o calendário está de volta ao Colinas do Sul lá os moradores lutam pela conclusão das obras de uma creche e do posto de saúde do bairro e tem novidade boa por lá a primeira a gente vai mostrar aqui vamos ver Olha só vamos mostrar diretor não mas a gente vai mostrar na matéria uma novidade da cehap porque a SEAP cercou os dois prédios com Estacas e arame farpado e não foi só isso não Veja reportagem completa aí eu duvido que o tempinho aqui na frente também foi limpo porque tinha muito mato e disse que quando o calendário JPB chegou aqui então quando é que o pessoal da cehap chegou para fazer sim segunda-feira segunda-feira pela manhã já chegou três homem aqui foi limpando né fazendo a limpeza da limpeza porque tinha bastante sujeira não é certeza né quer dizer que já foi o início porque aqui tava como você viu Né tava muito lixo muito mato né Colocar aqueles arames nesses protetor aqui que eu creio que seja para o Vando não vem fazer desordem aqui dentro já começou bom começo deixou Tudo limpo quando a gente ia segunda-feira que tava aqui limpando a gente ficou muito contente Alice meninas o calendário 21 começa na obra olha agora vai sair dessa vez sai para mim mesmo já é meio caminho andado já mostrou que ia ser rápido tá com boa vontade não é certeza né Ela mostrou que não vamos assim não está nos abandonando né da reportagem a SEAP respondeu prontamente reconheceu que o problema realmente existe a obra parou mas aí para ela ser retomada precisa ser feita uma nova licitação que segundo a SEAP vai ser feita Logo no início de 2016 quando as duas situações podem ser feitas novamente desligaram tem que vão resolver aí já dá um ânimo né Fernanda primeiramente muito obrigado que se não fosse vocês eu acho que tava do mesmo jeito aqui o mar Descobrindo a gente agradece muito eu acredito que agora daqui para frente as coisas vai mudar vai melhorar para nós ir para continuar cobra eu acho que vai muito obrigado para você nessa luta com a gente porque agora vai sair do posto de saúde e as Crianças as crianças porque a gente precisa acima de você trabalhar deixa as crianças na creche e a gente precisa de alimento do posto de saúde Eu agradeço muito muito obrigado e aqui tá a imagem do quanto essa obra necessário o tanto de criança que tem aqui uma dessas obras é uma creche justamente onde as crianças vão poder ficar para que as mães e os pais possam trabalhar com tranquilidade na nossa última visita aqui o que eu queria para hoje era uma resposta da cehap e algumas providências para amenizar que a situação e isso a gente conseguiu então eu vou dizer que a história andou vou colocar o carimbo em andamento na nossa primeira volta e aí a gente vai marcar o próximo Capítulo que que vai acontecer nesse próximo capítulo vamos marcar dia 4,outros(obras)
o lugar era para comunidade praticar esportes se exercitar mas mas a reforma nem bem começou e já parou resultado dos animais tomaram conta do terreno e os moradores de Mangabeira temem que dentro do ginásio estejam vários criadores do aedes aegypti sem conseguir uma explicação das autoridades EA comunidade chamou o calendário e Nascente foi conferido essa situação ginásio Hermes Taurino foi fechado para reforma em 2014 mas a obra só durou poucos dias e logo parou a comunidade ficou aguardando que a obra fosse retomada E isso não aconteceu como os moradores não aguentavam mais conviver com essa cena aqui resolveram chamar o calendário aqui deveriam ter sido investidos r$ 324000 nessa situação há dois anos para você ver a placa eu não sei quem não sei se foi o pessoal da gestão originário apagou a data de início da obra e a data de entrega da obra como a gente vem acompanhando o caso há muito tempo eu tenho em casa uma foto da placa sem essa tarja preta que eu vou disponibilizar para receber para vocês para ter noção de que ano e que mês era para ter finalizado essa obra para ter terminado em 120 dias então já faz quase dois anos que a obra não termina então alguém deve ter apagado a data de conclusão da obra na verdade o que a gente viu foi ele arrancarem o teto e parte né nem deu para arrancar tudo e deixar do jeito que está fazendo com que a chuva caia lá dentro e com certeza criando criadores do mosquito aedes aegypti lá dentro do mato como você ver crescendo dentro do ginásio e a calçada está com entulho fazendo com que a comunidade tem aqui para Rua disputar espaço com os carros alguém aqui já chegou para vocês para dar alguma explicação não nada ninguém nunca chegou para explicar nada para prejudicar a gente que gosta de utilizar é o patrimônio né jogar futebol com os amigos aí como a gente praticava antes e hoje a gente sair prejudicado quando a obra chegou Vocês Todos pensavam que estavam ganhando um presente de repente ganhar um problema grave gravíssimo é uma prova da manha de abandono que os animais estão passando por aqui tranquilamente né já que os humanos não cuidam né O nossos animais estão cuidando do nosso espaço Inclusive eu acredito eu que esses animais foi colocado aí dele justamente para evitar que o mato já tiver subindo pelas paredes que esse terreno existe existe a quadra de vôlei de praia existe um campo de futebol de areia e tá entregue aos animais e ao Leo tem uma obra parada né É dinheiro nosso que alguém tem que explicar para onde foi Cadê quando ele vai ser empregado aqui tem que ter uma explicação para isso e agora vai ter que ter uma data para esse problema ser resolvido o calendário JPB vai acompanhar as histórias da chuva nos pegou um pouco né mas calendário é assim mesmo vai até em baixo da água não é está aqui o calendário de você,outros(obras)
hora do calendário JPB seu Severino Ramos e os outros moradores da Rua Joaquim Farias Barbosa tavam bravos com água suja que corria pelos cantos das Calçadas da rua o problema é causado por forças de uma escola em uma creche que não suportavam o volume e a sujeira e toda para Rua calendário pelas duas vezes e na terceira visita tem aquele carimbo seu Severino e os vizinhos já podem respirar aliviados embaixo dessa árvore um dia a gente mostrou a água de esgoto espalhada pela rua uma sujeirada de embrulhar o estômago mas hoje o que a gente vê embaixo dessa mesma árvore é outra imagem olha só a mesa preparada pelos moradores já deu para perceber e hoje é dia de festa no calendário Dona Arlete a costureira hora né bem em frente a essa árvore onde a gente tá agora só que antigamente ela sofreu muito porque o mau cheiro ia todinho para casa da dona Arlete e agora não tem mais mau cheiro como ela é costureira as clientes Não aguentavam mais né aquela situação e eu embora não aguentava ficar aqui agora elas estão voltando graças a você né né também tá desse jeito tá feliz porque te incomodar bastante né com certeza que a minha casa era mais praticada né mas eu agradeço e se a gente precisar tomar de novo para eu seja muito obrigado vocês que Deus dê muita paz muita proteção e chamou o calendário JPB aqui na rua foi a filha da da Mônica a Salete uma garotinha que hoje tá na escola né Mônica que pena ela não tá aqui hoje ela está fazendo prova na escola como é que você se sente em perceber que um e-mail pode mudar daqui a vida dos moradores fico feliz né a prefeitura te admiro e também com ajuda de vocês jbb se vocês têm um coração de ouro e ajuda na paraibanos nós vocês se vocês com amor e vocês transmite segurança para gente e aí eu chamo o acerto para cá porque foi na porta dele que a gente bateu na porta da Secretaria de Educação do município ele é responsável pelo setor de Engenharia e prontamente veio aqui observar a situação né Assim Que que foi feito durante esse tempo comunidade sentia desse problema do mau cheiro do vazamento de costas e que a gente fez nós aumentamos a ca capacidade de armazenamento tanto da escola como da creche então o espaçamento agora de um esgotamento de outro vai ser bem maior e vai continuar até que um dia a comunidade tem a rede coletora de esgoto que o estado,outros(saneamento)
Agora imagina o que que é a pessoa viver numa rua assim o problema aqui é escuridão tá tudo escuro quem mandou essas fotos e também um vídeo para gente foi a Jéssica Januário Olha só como é que fica essa parte da Rua Josefa adelita Farias Aguiar em Mangabeira onde ela mora a Jessica é uma jovem de 16 anos que reclamou reclamou até que cansou aí já sabe quem é ela chamou né apenas com a luz do sol que a gente consegue ver a rua de verdade A Jéssica foi quem chamou a nossa equipe aqui Jéssica Quais são os esportes que estão com problemas entre as fotos aqui na nossa rua que tá com problema mais de um mês já são aquele posto que tem para lá então esses dois são três portas em sequência como é que fica a situação aqui de noite que Pelas imagens que você me mandou por celular não dá para ver quase nada né fica completamente escura rue e a gente chegou a esse ponto de chamar Porque a gente já entrou em contato com a prefeitura eles dizem apenas para guardar e já teve assaltos aqui a minha cunhada mesmo foi assaltada botar a mão na cabeça do meu sobrinho menino de 3 anos de idade Então já tá ficando insuportável né enquanto tem esses três postes apagados tem um outro ali mas no final da rua que tá aceso o dia inteiro não é dia e noite ele tá cedo vc sem a noite também a gente paga por isso né no papel de contas vem a iluminação pública aí a gente não ter fica meio complicado né aí a consciência de uma garota de 16 anos que procurou a prefeitura para resolver esse problema mas não foi atendida eu vou conversar com os outros moradores que também se sentem inseguros Dona Maria que mora aqui na rua fica preocupado né preocupada quando era iluminado Era bom que é tranquilo a gente ia todo movimento da rua mas agora no escuro a gente não pode nem abrir o portão depois de anoitecer porque dá medo antes de deitar só tava aqui na frente da minha casa a gente liga para prefeitura liga liga liga vai resolver vai resolver isso nada de resolver a gente no escuro a Senhora mesmo ligou eu já liguei duas vezes outros vizinhos aqui Já ligaram também até agora nada e já faz mais de três meses que tá salvo aqui nessa situação você já saiu de casa com medo de sair né para evitar qualquer coisa a gente tem que ficar em casa antes esse problema era de responsabilidade da Energisa mais recentemente houve uma mudança na legislação e o órgão responsável em controlar essa iluminação pública agora é a prefeitura Mais especificamente a secretaria de infraestrutura daqui nós vamos procurar a prefeitura Vamos procurar saber porque esse problema está acontecendo porque é você Ele ainda não foi solucionado e quando vai ser resolvido uma semana Ana é um tempo suficiente para a gente voltar com essas respostas e quem sabe com surpresa boa acho que é suficiente né porque é um problema simples dá para ser resolvido rapidamente no dia 22 de abril o calendário JPB tá de volta aqui é o bairro de Mangabeira 8,ruas
é dia de voltar a Intermares lá os moradores pedem a reforma da única praça do bairro bairro Nobre e uma praça abandonada Olha que perigo isso daqui ó não tem jeito não tá aqui calendário JPB começou a acompanhar o pedido dos moradores de Intermares em setembro do ano passado eles queriam a reforma da Praça do açaí e os equipamentos de ginástica este vemos oito vezes na comunidade e a reforma foi Prometida o local onde é que local aqui perto ou essa aqui vai escolher uma fazer uma academia e o restante temperatura estrutura orçamento buraco iluminação pública organizada chegou a hora de saber se a promessa foi cumprida cinco meses depois estamos de volta à Praça do Açaí no bairro de Intermares em Cabedelo e olha só como é que tá o sonho dos moradores em construção pela primeira vez voltamos aqui Encontramos uma realidade diferente a praça ainda não está pronta mas está em fase de conclusão a Isabel está representando os moradores daqui do bairro né Isabel que vocês esperavam muito por isso né Há muito tempo que realmente Intermares estava precisando porque a única praça do bairro estava em ruínas né hoje a gente vê que apesar de tanta reivindicações muitas insatisfação dos moradores está sendo realizada a reforma da praça né só que nós já queríamos né hoje está inaugurando a praça como foi prometido mas já que não deu tava conversando com a Engenheiro fiscal da obra e ela me contou que essa reforma da Praça no contrato diz que vai ser feita em 120 dias e começou quando essa obra dia 10 de setembro já tá mente no dia 10 e a previsão para acabar 10 de janeiro então ainda falta um mês e alguns dias para que essa Praça seja concluída isso se for no dia mesmo né e cada detalhe tá sendo pensado né os mínimos detalhes se é a tela a gente Observe se a tela é coerente com o local do ambiente substituímos porque não é estamos olhando a árvore A árvore tá com fome vamos arrancar a árvore já colocar duas partes que sejam compatíveis com o ambiente uma sombra melhor sem falar né que toda a iluminação da orla foi trocada eu acho que a população agora tá conseguindo caminhar fazer os exercícios passear as crianças brincarem com bem mais segurança você sabe que iluminação é tudo né para segurança conseguimos escapar também os buracos de todas as vias de acesso do bairro e no dia 21 da ordem de início de serviço da pavimentação e drenagem de toda a bacia Norte aqui de Intermares tá ouvindo a praça está vindo mais coisa boa porque a gente sabe que o pessoal,outros(obras)
o calendário JPB acompanha a luta dos moradores da Torre Expedicionários desde 2011 eles querem a reabertura do ginásio Padre hildon Bandeira e hoje está em Total abandono como vocês estão vendo aqui a ginásio não tem condições de oferecer lazer para as crianças inclusive ele tá aqui sentado como estou agora você tá vendo como é que está a gente espera que as autoridades tomem conhecimento e que faça alguma coisa porque aqui no bairro tem muitas crianças que precisam realmente desse espaço para brincar o espaço pertence à arquidiocese da Paraíba ficou 3 anos sobre administração do Governo do Estado mas o contrato venceu ficaram as dívidas e os estragos na estrutura provocados pela ação do tempo e de vândalos 2008 um patrimônio desse em completo abandono em terreiro do ano passado arquidiocese o governo do es estado entraram em acordo e o contrato foi encerrado mas a possibilidade do ginásio ser reformado e reaberto para comunidade dependeria agora de uma nova parceria ainda no ano passado a prefeitura entrou em negociação com arquidiocese os moradores se animaram mas as partes não chegaram a um acordo e o ginásio fonte no ou no abandona o padre hildon Bandeira hoje foi a presença do secretário de esportes do município Sérgio Meira os representantes da arquidiocese e a Claro toda comunidade que tá aqui presente aguardando uma boa notícia hoje de manhã logo cedo eu encontrei com o Prefeito Luciano Cartaxo e ele me disse o secretário que tinha boa notícia que já estava conversando já jantou assunto com o do Aldo pagoto que é o arcebispo da Paraíba e aí eu lhe pergunto o que que você pode dizer de bom para todo mundo tá aqui lente de bom que existe realmente interesse da Prefeitura em resolver esse problema a gente sabe que já tá vários anos se recebe ficação aqui equipamento esportivo que não tá disponível para essa comunidade e tenho certeza que as tratativas já estão iniciadas para que a gente possa efetivamente resolver esse problema aí o Doutor Marcelo é assessor jurídico da arquidiocese E aí na gestão anterior a prefeitura também sinalizou que tinha interesse em assumir o ginásio Padre hildon Bandeira mas não foi fechado um acordo porque esse acordo não foi fechado e por que agora nós temos chances de que realmente isso acontecer infelizmente naquele período não foi possível investir tudo das eleições mudança de governo então não foi possível concluir dessa forma agora com a nova gestão foi finalizado a reiniciar essa tentativa de acordo e o calendário está livre representantes da Comunidade 4 de fevereiro a gente veio aqui Qual a data que a gente pode marcar para saber como está procedendo essa negociação entre a prefeitura arquidiocese no caso vão solicitar mais 45 dias para tentar fechar essa negociação de iniciados agora é bom para prefeitura também eu acho que sim já que as negociações já foram iniciados eu acho que daqui a 45 dias quando ele tá procurando,outros(obras)
"há quase três anos o calendário JPB vem acompanhar os moradores da Rua Prefeito Luiz Oliveira Lima problema laje falta de calçamento pouco mais de 100 metros de rua nesse tempo os moradores já receberam promessas mas calçamento que é bom nada de chegar a revolta deles é porque a cobrança do IPTU é assim não deixa de vir todo ano e os moradores não pagam em dia todos os impostos calendário resolvi então fazer uma conta você vai entender em maio vai completar 3 anos que o calendário JPB acompanha a história dessa rua os moradores sonham com calçamento nesse trecho aqui é um pedacinho de calçamento mas nas nossas últimas visitas a resposta da seguinte para sempre a mesma não a previsão que o calçamento Júlio é o nosso convidado de hoje quando eu entrei em contato com você por telefone nós passamos algumas informações sobre a rua hoje você teve a oportunidade de ver a situação aqui no local e também elaborar um orçamento assim aproximado é de quanto custaria essa obra foi a sua conclusão aproximadamente 210 a 240 mil com base na tabela assinale a tabela usada pelo Governo Federal elaborar uma planilha né com tudo que a obra teria que usar né veja só serviços como topografia regularização da rua com a motoniveladora depois você vai ter um tratamento da sub-base você vai ter colchão de areia se vai ter meio-fio linha da água se vai ter o paralelepípedo o calçamento propriamente dito correto Então isso é um orçamento vamos assim base uma ideia de orçamento correto certeza a gente chama aqui só para dar essa ajuda para que a gente justamente tivesse ideia de quanto custaria essa obra e aí eu falei ontem também com seus Onildo né se o Nildo para saber mais ou menos também algo aproximado do valor do IPTU de vocês o nosso IPTU r$ 282,06 analisando indiretamente aqui para se calcular quantas pessoas viviam os filhos dessa rua só fazer uma pesquisa mas se você fizer uma sondagem aqui no bairro nas quais você vai encontrar que tem bastante unidade Habitacional Então você vai pegar esse custo e vai dividir pelas unidades habitacionais isso conseguem diluir outra coisa interessante é que quando vier fazer o serviço que pega em outras ruas nas proximidades para que o custo unitário consigo abaixar esse agente calcular aqui que tem quadras várias quadras desse lado tem várias quadras aqui desse outro lado quantas famílias estariam sendo beneficiadas com esse serviço aqui diretamente uma brasileira de cálculo 200 famílias já que a nossa ideia é fazer assim cálculos aproximados de quanto custaria a obra de quantas pessoas seriam beneficiadas o calendário JPB vai para calcular",ruas
2013 acabou já se passaram dois meses desse ano chegou a hora do calendário voltar a Jaguaribe por lá os estudantes da Escola Estadual Maria do Carmo Miranda esperam pela reforma das salas de aula e do ginásio chegou a hora de saber se as obras aqui na Escola Estadual Professora Maria do Carmo de Miranda em Jaguaribe foram retomadas é o que o calendário JPB vai saber agora vamos lá ao entrar aqui na escola eu percebo uma diferença aquela montanha de entulho que existia bem aqui nesse Pátio já não está mais eu vejo apenas algumas pedras e também telhas e possivelmente ainda vão ser utilizadas na obra mas trabalho que é bom eu não tô vendo nada olha só as salas que estão sendo construídas continuam abandonada e os estudantes estão aqui olha só no pátio organizados hoje com vários cartazes protestando por mais esse atraso no reinício das obras hoje a gente resolveu protestar aqui dentro do colégio isso não significa que a gente vai ficar só aqui se não tiver a resposta a gente vai para rua a gente não tá conformado e não pensa que a gente vai ficar conformado esperando a resposta a gente esperou demais Fala muito desse negócio das escolas que os jovens de hoje não querem estudar a gente tá aqui lutando para ter uma reforma na escola para poder vir estudar aí fala tá vamos fechar as escola porque não tem aluno esses aqui são o que nós somos o que é obrigado a gente está se reunindo em porta de escola tá fazendo correndo atrás para ver para poder ter um futuro tava todo mundo aqui confiante que na volta das aulas né tudo isso aqui já está no cenário bem diferente não sei o que aconteceu não foi que aconteceu a secretaria de educação só retirou o entulho E olha que ainda tem bastante não parece mas nós estamos no meio de uma aula de Educação Física olha só os meninos jogando bola aqui porque a além dessa obra está parada aqui e essa aula está acontecendo no meio do canteiro de obras com pedra de um lado telha do outro ainda tem um ginásio aqui na escola que poderia estar sendo utilizado deveria estar sendo utilizado nessa aula mas ele também não tem condições de uso virou um depósito de entulho e não pode ser utilizado pelos estudantes então a reclamação o protesto desses estudantes não é à toa né chegou aqui a diretora Iran eu tô vendo que você tem alguns papéis na mão eu tô aqui com esses papéis que é uma ata de uma reunião que aconteceu no dia 20 de janeiro a que mostra a licitação sendo feita no dia 20 de janeiro então o que foi que aconteceu a informação que eu recebi é que a empresa que foi derrotada que eu não lembro o nome agora ela recorreu e tal todo o processo no jurídico mas o setor jurídico já deu um parecer legal que a empresa vencedora realmente é a vencedora a licitação foi concluída já tá em processo já está concluída a ordem de serviço já tá pronta aguardando apenas o governador assinar ele assinando a obra pode começar até amanhã Essa é a informação que eu tenho Ricardo Coutinho por favor assim,educacao
