endereco,texto
"Avenida Manoel Deodato, Torre, João Pessoa, Paraíba, 58040-181",hora do calendário JPB hoje tem Missão Nova e quem tá de volta para assumir essa bronca é Karine Tenório ela foi até Avenida Manoel Deodato no Bairro da Torre porque tem gente jogando lixo na calçada e não tem pouca coisa não viu olha aí ó o lixo tá impedindo a passagem dos pedestres na calçada é do pedestre certo Pelo menos é o que deveria ser porque nessa rua aqui no bairro da torre quando chega nesse ponto o pedestre não consegue passar mais a calçada é do lixo e no mato aqui dá para ver que tem de tudo um pouco tem muito mato tem muito material de construção tem lixo doméstico também bem tem essas cascas de coco que foram jogados aqui olha só o que se transformou essa vasilha de queijo do reino uma piscina para o mosquito da dengue vou até vir aqui porque não tem quem aguenta uma situação dessa é por isso que os moradores do Bairro da Torre chamaram o calendário JPB porque eles me disseram que já procuraram a ele por diversas vezes a mais de 3 meses e ninguém toma providência para resolver essa situação do da Maristela a senhora tá com papelzinho aí na mão que mostra todos os dias que a senhora ligou para ele né dezembro e janeiro a senhora procurou e massa para já procurou duas vezes e aí nós já estamos em abril os moradores dessa rua aqui pedindo socorro e ninguém toma uma Providência na rua central na rua bastante movimentada calçada alma e movimentada Por que as pessoas não podem passar ali por lá é capaz de ser atropelada por uma rua de grande movimentação inclusive ela é asfaltada o que que acontece nesse ponto onde o lixo tá se acumulando é um terreno baldio O terreno tem um muro tem um portão mas aí as pessoas se aproveitam para jogar na calçada como o terreno não tem uma calçada de cimento as pessoas vêm jogam lixo aqui a senhora ver as pessoas fazendo isso de vez em quando passa o carro cheio de lixo e bota aí na caminhonete uma vez passando carroceiros se a senhora não tiver coloca E aí como a senhora não tá de prontidão 24 horas o pessoal que venha cá a senhora me disse que viu que por aqui além de rato barata escorpião apareceu um tempo sexta-feira falta pouco para ser transferida para cá né De tanto lixo não não fora
"Rua José Paulino Neto, Pocinhos, Paraíba, 58150-000",o calendário JPB agora voltou até a cidade de Pocinhos a população cobrava um Centro de Atendimento odontológico e a prefeitura da cidade prometeu entregar não vê aí se foi carimbo de Resolvido calendário hoje na cidade de Pocinhos mas já estivemos aqui no mês de junho para mostrar o problema Você lembra olha só é que esse Centro de Especialidades odontológicas não estava funcionando há mais de um ano que que aconteceu Conselho Regional de Odontologia detectou algumas irregularidades de um prazo para prefeitura consertar que não consertou E aí o local foi interditado ruim para os moradores né que aqueles fizeram chamaram o calendário J PB E aqui estamos Teve até um caso de um morador que disse que procurou o serviço odontológico no posto de saúde para fazer uma obturação e ficou só no curativo porque não tinha Como finalizar o serviço olha só quer dizer faz uma obturação que que acontece não tem a platina e pronto aí deixa o cara assim que só o curativo né aquele material que faz alteração a platina aí tava faltando isso aí deu um prazo para regularizar toda a situação e aí a gente voltou agora é agosto mas a gente já espera ver o serviço funcionando né João Paulo é o representante do calendário tá aqui passou muito tempo sem esse serviço né João Paulo vamos foi agora pelo menos a fachada tá bonita mas eu tô vendo que ainda tem ali uns reparos para fazer isso é verdade a gente esperou tanto tempo e a gente espera a população agradece não empenho de vocês da TV Paraíba a colaboração a força e a Batalha da população para que este possa de realmente ser devolvida à população e Esperamos que não esteja aberto mas que os serviços funcionam ansioso assim Como assim como a população está feliz e nada mais justo do que este ato de cidadania de que cada cidadão precisa ser investido dessa consciência Independente de quem esteja no poder tendo em vista que pagamos nossos impostos tem que lutar pelos direitos né então vamos lá o seguinte o céu agora vai funcionar nesse antigo posto de saúde a gente esperava ver atendimento logo hoje mas eu acho que não vai demorar um pouquinho para ver viu a notícia é que a gente pode ver que já tá em andamento a secretária tá aqui Secretaria de Saúde coordenadora de atenção básica também então Rosiane a gente pode vendo aqui que já tá
"Rua Pastor José Ferreira Silva, Bessa, João Pessoa, Paraíba, 58035-160",o calendário está chegando na área choveu hoje de manhã e eu só tô imaginando a situação do pessoal lá da Rua Pastor José Ferreira da Silva fica no Bessa e quando tá tudo sequinho ninguém consegue nem entrar na rua aí você pensa né na semana passada o calendário voltou por lá tem obra andando e a gente quer acreditar que o serviço vai terminar logo antes que o inverno chega e forte o calendário JPB tá de volta ao Bessa Essa é a Rua Tertuliano Castro uma das principais do bairro Mas o problema não começou aqui não viu ele está aqui por causa dessa obra ou o que restou dela na Rua Pastor José Ferreira da Silva Onde é que a senhora vem comadre nome de Jesus bom dia eu tô vindo do mercado é hoje eu tô fazendo pouca sacola Mas tem dia que eu trago umas seis sete oito entendeu o carro da senhora dorme na rua com certeza todos os dias se eu precisar sair à noite alguma emergência eu tenho que vir aqui de madrugada pegar o carro e sair me expondo também né É complicado fazer o seguinte Bora para perto da sua casa tá pesada que a sacola viu chega já já converso com você viu vou levar essa sacolinha aqui Aqui o buraco tava maior parece pessoal fez um aterramento melhorou uma coisinha ou Não Valeu de Nada na realidade vieram logo depois que você venha né Vera 15 dias depois fizeram um aterramento para deixar a gente entrar dentro de casa mas na primeira chuva os carros atolaram todos não tenho condições de colocar o carro aqui para dentro não e Arruda Arruda já começa a perder de novo porque o único lugar que eles deixaram para a festa foi ali então não tem como porque já cedeu de novo inclusive ali na principal na Tertuliano Castro já teve acidente por causa do buraco de surgiu Teve sim Danilo Foi numa sexta-feira à tarde né finalzinho da tarde tava chovendo aí um carro quando viu o buraco freio e a moto que tava atrás não conseguiu e acabou tombando os dois motoqueiros e foi a gente que colocou justamente aquela placa lá para evitar maiores acidentes né porque o buraco ele cedeu muito que a gente colocou de uma maneira de evitar essa pista e as pessoas os carros passarem por uma pista só aqui em frente existe um Empresarial com vários pontos comerciais pessoas que precisam desses pontos para trabalhar e que recebem muitos clientes estamos perdendo o cliente certo porque como eu já expliquei eu tenho uma clínica certo e atendo muito idosos como é que eles vão chegar até a minha clínica se não tem como estacionar as pessoas que vem no horário entre 56 horas ficam com medo de colocar o carro em outra rua landmann turma de uma paradinha uma paradinha Aí chamou para gente fazer esse serviço aí para gente dizendo que realmente parou por um problema administrativo com empresa que tava tocando aqui a obra nessa rua mas eles disseram que ainda essa semana eu resolver todas as pendências e a obra seria retomada por isso que a gente tá vendo tem uns
"Rua Salvador, Três Irmãs, Campina Grande, Paraíba, 58423-065",desde 2013 o calendário vem acompanhando a reforma de uma escola lá em Jaguaribe Quando a nossa equipe chegou a tudo parado nada de quadra laboratório por causa do verdadeiro caos de lá para cá as mudanças foram acontecendo Mas faltam detalhes enquanto o trabalho não chega ao fim o calendário cobra e fiscaliza tudo da Escola Maria do Carmo de Miranda não mandava nada bonita mas com muito esforço a desestrutura está indo embora e já dá para ver em detalhes que muita coisa mudou os laboratórios já estão funcionando química biologia matemática e esse aqui de robótica bem aparelhado com muito material e o que é que acontece quando a oportunidade chega para quem tem inteligência tempo e muita força de vontade Caio participaram de um campeonato que campeonato foi esse e fala aí o resultado do campeonato do que ela já daqui as águas-vivas bem Ficamos em terceiro lugar competindo com escolas particulares até escolas Federais e conseguimos ganhar e vamos agora para o Rio de Janeiro se Deus quiser você vai querer fazer mais pela nossa Paraíba conseguimos realizamos se Deus quiser agora no Rio de Janeiro fazer um aniversário mais uma vez a Paraíba Como foi o seu orgulho laboratório de química é mais um que está reformado e muito bem equipado agora os alunos já estão em recesso mas durante as aulas Eles já vieram para cá estão utilizando bastante agora falta um elemento nessa história que é o aparelho de ar-condicionado tanto aqui como nos outros Laboratórios não foram instalados ainda porque a Irã antiga diretora conhece esse problema desde o início problema dos ar condicionados a questão da rede elétrica é muito antiga Mesmo durante a obra foi mudou toda a rede de fiação Mas mesmo com essa mudança ainda é necessário um novo projeto para que sejam instalado esses ar condicionado à rede não suporta a atual diretora teve uma reunião né sobre essa questão vai ser instalado ar condicionado vai ser ventilador como é que fica de dia e de química vão ser ar condicionado e os outros derrubando vai ser dono de um projeto para Salvador não é para aguentar porque aqui tem ar contém a palavra de informática tem outra instalação ar condicionado outra por causa dessa chuva toda a obra do ginásio tá demorando um pouquinho mais mas a promessa é de que nos próximos dias pelo menos duas semanas no máximo já vai estar tudo pronto e que coberto por enquanto os meninos estão ali né se abrigando um pouco da chuva mas tá andando e vai ficar bonito quando nós voltamos do recesso que começa hoje até o dia 8 Então vai estar tudo beleza
"Rua Anísio Salatiel, Roger, João Pessoa, Paraíba, 58020-000",No Roger os moradores da Rua Anísio Salatiel sofrem com as Galerias que deveriam receber só a água da chuva mas tá tudo entupido gente tá cheio de lixo e com ligações clandestinas de esgoto a prefeitura vem trabalhando na área há quase um mês mas parecia um problema fácil mas não é a mais de um mês o calendário JPB vem acompanhando a tentativa da Prefeitura em desobstruir as Galerias da Rua Anísio Salatiel no Bairro do Roger essa é a nossa terceira visita e apesar da gente está encontrando Hoje o pessoal da ciência trabalhando aqui na rua A situação ainda é essa prova que esse problema é mesmo difícil de resolver mas não é impossível não é eu acho que essa também já é é a terceira vez em um mês que o pessoal da central vem aqui tentar resolver essa situação porque não é um ponto muito cedo nós temos vários ramais e aqui na parte onde é o financiamento é a parte de Mangue essa parte foi ocupada com alguma ação e regular e aí a gente tem que identificar. A ponto onde é que está vendo esse estrangulamento que se chama galeria agora mesmo nós identificamos um que com certeza vai melhorar bastante esse aqui sem contar que o que nós estamos dentro ficando aqui a maioria chama esgoto esgoto vai para ser lançado na galeria esgoto é um material muito corrosivo e pelo tempo que ele Está ocupando o sistema de galeria Com certeza já deve ter danificado uma boa parte de cima da galeria pelo que nós estamos identificando mas nós não estamos nos omitindo estamos aqui trabalhando com a população para dar essa resposta para dar fazer essa minoria da população Por que todo mundo tem que fazer a sua parte né hoje a gente tá vendo que a Defesa Civil tá aqui a secretaria de infraestrutura tá aqui mas a comunidade também tem responsabilidade nessa situação porque fez ligação clandestina de esgoto e aqui na na Rua Anísio Salatiel não é só aquela famosa água de pia que o pessoal está despejando na rua não esgoto mesmo é a água do vaso sanitário que tá vindo para cá além de muito lixo a gente observar ela só tem até a garrafa PET aqui dentro a gente vê que esse espaço que tá aqui embaixo tá completamente obstruído a gente olha aqui só veio lixo e aterro então não tem como a água de lá passar para cá e quando chega aqui do outro lado lá atrás também tem obstrução outro problema relatado aqui pela secretaria de infraestrutura É que muita gente construiu fez construções em cima da galeria então que acontece tem uma hora que não tem por onde a água passar outra questão que foi levantado aqui pelos moradores é que existem dois pontos de esgoto de rede de esgoto na frente e atrás da rua então seria um sonho para eles que a Cagepa um dia pudesse vir aqui fazer essa ligação de esgoto já resolveria o problema do esgoto na rua nós vamos ter que fazer esse comunicado para Cagepa para ver se ele faz um ligamento dessas esgoto está sendo aberto aqui Qual o sistema de rede de esgoto captação de esgoto aí já melhora tudo
"Comercial Norte, Bayeux, Paraíba",em outubro desse ano Dona Maurícia Laje Bahia chamou o calendário JPB que tava quase impossível entrar em casa a rua tava intransitável nenhum carro podia descer mas agora os moradores vão poder receber parentes e amigos para as festas de fim de ano ainda não é a Rua dos sonhos também a gente não esperava nenhuma mágica Mas a gente pode dizer que a mudança é muito grande quando o calendário JPB chegou aqui o nosso carro só ia mesmo até esse ponto agora a gente pode seguir em frente Bora lá Alisson aqui eu posso dizer que tá a mudança mais radical da rua porque onde está essa moto estacionada bem aqui tinha um buraco tão grande que se esse buraco ainda existe se a moto tava lá embaixo quase na China não era dona Maurícia para o pessoal sair de casa tem que ser por uma ponte uma vez a repórter aqui atrevida Resolveu entrar dentro do buraco Quase que desapareceu melhorou não foi com certeza né ninguém andava aqui carro não passava a gente não passava ambulância se alguém passasse mal não entra não ninguém entra aqui dentro tava música isolados é assim o problema dessa rua só vai ser resolvido mesmo de forma definitiva quando vier para cá uma obra que não é pequena de calçamento né E também drenagem porque é preciso da destino essa água da chuva porque por ser uma ladeira a água da chuva vem de lá de cima vem com muita força e é por isso que se forma aquela cratera aqui na frente da casa de vocês então a gente sabe que essa solução viu hoje não é uma solução definitiva Qual era o objetivo do calendário JPB aqui trazer um atendimento de urgência de emergência que vocês não tinham aqui devolver aquela cidadania e o direito de ir e vir de entrar e sair de casa que vocês não tinham mais e hoje nesse dia já que o pedido né que a gente fez a prefeitura ele foi atendido o prefeito atender o chamado do calendário JPB tá que tá com uma papelada aí na mão que diz coisa sobre o futuro dessa rua porque eu sei que lá em cima a situação também não é boa e quando chegar o inverno aqui a situação não vai ser boa então para dizer que essa história não morreu aqui não morreu só no atendimento de urgência a gente quer saber Prefeito se já tem algum projeto de calçamento e drenagem para essa rua se vai ser feito como é que anda essa semente tinha aí na prefeitura na realidade Comercial Norte no bairro novo né mas é um bairro também que tem vários problemas de bairros novos né Inclusive a falta de projetos Estamos levantando toda a topografia da cidade para que se faça a correção dos projetos e assim
"Rua Brasília, Grotão, João Pessoa, Paraíba, 58079-854",agora a gente vai de calendário eu vou logo dizendo é um caso que demonstra o total de descaso das autoridades com a comunidade a 4 anos que a gente mostra a buraqueira que a Rua Brasília lá no Grotão e nesse tempo sabe o que é que foi feito nada isso meu filho nadinha Sílvia Torres mostre agora para gente essa é a décima sétima vez anote aí 17ª vez que a equipe do calendário JPB visita Rua Brasília no Grotão essa luta que vem persistindo há tanto tempo mas a gente tá junto eu tô em frente à casa da dona Joana a dona Joana já moro aqui há quanto tempo a dona Joana faz mais de 30 anos mais de 30 anos ela vem sonhando com essa rua calçadinha isso com tudo adequado com água descendo para o lugar que deve ter descer né nada de tar descendo entulho tudo junto em época de chuva e não dando nada né que quando chegar para de chuva fica difícil a senhora mora na parte baixa né Aí não dá tudo aqui com certeza a gente nem dorme à noite quando começa a chover e fica tudo assustado porque se dormir chovendo a casa pode invadir água aí a gente vai acordar nadando nós não eu tô vendo aqui que a senhora fez nenhum espécie de morrinho aqui não é para que que serviço E aí de segurança aqui para quando vem o entulho quando vem a água para não invadir tudo né Mas será que sustenta esse aqui tem sustentar muito forte não sustenta não de água vai para dentro da minha casa Nós entramos em contato com a prefeitura aí a prefeitura diz o seguinte a chefe de gabinete do orçamento participativo Michele gracioso respondeu que segundo o secretário do orçamento participativo Francisco José Silva das Chagas infelizmente não é a previsão para licitação desta rua o projeto está sendo elaborado porém não há nenhuma data definida por tanto para não criar expectativas não divulgaremos pois realmente não sabemos Quando irá sair o calçamento definitivo a gente continua aqui nessa luta exigindo então da prefeitura celeridade Será que existe essa palavra que já faz tanto tempo nessa luta vem desde 2015 Passando só 2015 2016 2017 2018 17 vezes e nada se resolve e olha tem muita gente idosa morando aqui precisando dessa atenção especial não disse não é porque eu não fiz um carro mas a gente é ser humano está sujeito a duas semanas não e para vir o carro não tá a porta é difícil né É difícil é que tem no shopping de jeito nenhum nem desce o povo tem medo filha depois que eu tive um problema me deu um problema aí eu não subi mais aí eu preciso Se eu precisar de alguma coisa para comprar lá em cima no Grotão Então eu tenho que mandar uma pessoa porque eu não tenho condições de assumir
"Avenida Bodocongó, Ramadinha, Campina Grande, Paraíba, 58430",o calendário JPB dessa semana foi até o bairro ramadinha fica na zona oeste de Campinas a Rua Joaquim Amaury Júnior é uma das principais do bairro ela saiu lá de Bodocongó porta arrumadinho e vai até às Malvinas além das residências na rua tem posto de saúde escola pontos comerciais énorme essa rua foi assaltada recentemente ela tá um verdadeiro tapete Só que os carros e as motos Estão abusando da velocidade e os moradores é claro estão preocupados eles querem que esta app coloque lombadas no local Olha quando a gente mora numa rua de terra o maior sonho é que ela seja pelo menos calçada né quando tá calçada a gente quer prefere que seja assaltada mas quando asfalto chega se não tiver um quebra-mola meu amigo isso se torna um tormento para os moradores E aí seu Ribamar chamou a gente aqui do calendário Por que seu Ribamar é porque a gente chamou para pedir urgência vamos quebrar mola né porque aqui estão fazendo do asfalto uma pista de corrida mesmo o assalto colocaram quando o fim do ano passado do ano passado novinho da pistola tá uma beleza Olha que delícia né a pessoa vai chega flutuando agora os motoristas e os pilotos se aproveitar um pouquinho dessa pista boa não respeita né que o certo respeitar é computado até a vida deles no jogo né E outra criança que passa na Rua pode ser atropelada Tá mesmo animal pode uma moto caí por causa de um cachorro e a providência o quebra-mola Então vamos lá seu Marcos se tu aqui para a gente principal da ramadinha Rua Joaquim Amorim Júnior ela começa ali próximo a Floripes Coutinho sobe lá até o final ali na rede da Chelsea e tem um complemento outra rua que chega no terminal de passageiros que tem aqui na Malvina você já é uma rua extensa demais a principal nós temos mais na frente o posto de saúde e escolas é municipais estaduais e movimentado essa ajuda nessa rua aqui nessa rua vamos passar um ônibus também passa ônibus têm escola têm posto de saúde horário de pico muito movimento movimento aí a gente pretende a gente pede aos poderes aí para fazer as marcações e também quebra-molas que são importantes para o pessoal aqui que anda muito muito rápido né então o que é que resolve o problema né Vamos atravessar para falar com mais uma moradora aqui tomando um cafezinho claro que eu vou falar com ela né porque vai que rola também bom dia tudo bem Como é o nome da senhora é Dilene tudo bem Edilene esse cafézinho tá bom aceita
"Santa Rosa, Santa Cruz, Campina Grande, Paraíba",Qual é a hora de calendário JPB a comunidade Têm Vez e voz daqui a nossa equipe de reportagem voltou até o bairro Santa Rosa moradores reivindicam a conclusão da obra de um canal que vem se arrastando aí desde 2014 e também a limpeza de uma grande porta de esgoto vamos ver como é que tá lá seu Chagas seguinte me dá um desengano quando eu chego numa volta de calendário e percebi que não teve nenhuma mudança ninguém veio aqui a gente ainda tá esperando o pessoal chegar aqui para dar uma resposta a gente né de a melhor ação né e estamos aí ainda prejudicado com esse problema da rede de esgoto né foi ficou bastante legal aqui a ver esse aterro canal mas tá faltando concluir né as seguintes moradores aqui do bairro Santa Rosa estão com essa obra aqui parado a obra do canal prefeitura começou em 2014 e parou a obra simplesmente está parado a gente tem a resposta de André agra o secretário de obras falando porque essa obra foi paralisada Mostra aí o relação o canal porque o canal está parado que não está na justiça a empresa estava me contando entrou para receber débitos antigos na Prefeitura de Campina Grande desde 2006 e 2009 e hoje tá dependendo de uma sentença da Justiça primeira instância em Campina Grande olha para quem sempre teve rede de esgoto fica difícil imaginar como é viver sem ela então vocês que nunca tiveram como é que você poderia contar para que essas pessoas tenham noção que vocês passam aqui é horrível né o mau cheiro o esgoto escorrendo no pé da porta tem dia que assim a noite principalmente quando a gente tá chegando do trabalho né tava sentado na sala aí descansar um pouco fica aquele mal cheiro insuportável chove mosquito que tava não tinha um pingo de condições de continuar os moradores Então se reuniram e com todas as dificuldades juntaram recurso para comprar os próprios canos o quê que vocês fizeram alugamos aqui o motor bomba joga água dentro do canal e a reunião com o pessoal aqui compramos os canos para jogar água aqui dentro do canal para não ficar ajudando essas poça de água aqui né só para você ver isso daqui já é mais de água da chuva que tava com mulando aí uma luz no fim do túnel surgiu quando procuramos a prefeitura finalmente o acordo com a empresa Construtora saiu e agora as obras do canal tem data para Recomeçar E para acabar com esse sentimento e essa semana saiu graças a Deus a sentença judicial homologou acordo entre a prefeitura e a construtora Construtora contrata
"Avenida Parque, Distrito Industrial, João Pessoa, Paraíba, 58082-030",cada passo que a gente dá no calendário mesmo que seja pequena é motivo de vibração porque nós sabemos como as conquistas são difíceis na praça da Cultura em Mandacaru por exemplo o problema o problema era uns equipamentos de ginástica e foram tirados E aí não voltar mais nunca na nossa última visita Olha só tinha limpado o Mato Alto era pouco mas a gente vibra bastante E aí gente o tempo passou e agora nem isso mais a gente tem um negócio de por aqui é porque os equipamentos de ginástica Estavam todos danificados e quebrados a prefeitura levou com a promessa de trazer mas tá o canto mais limpo pelo menos Limpo também tava o mato aí você tá um vento tá alto né Sabe onde é que eu tô não faz ideia O mato está tão alto aqui que eu tô no meio no meio do mato aqui tá ruim Existe um abraço obrigado viu Pedro tem condição de brincar assim pelo meio do mato tem bicho tem espinho tem não dá para brincar tá com raiva Você tá chegando no joelho meu filho no joelho limpar o mato até que eles limparam mas também foi só uma vizinha é verdade mas já voltou a crescer e o nosso maquinário que é para a gente fazer ginástica que é bom nada né a mulher até me abandonou porque eu tô engordando a mulher até me abandonou porque eu tô engordando eu não acredito não perder essa mulher por causa da praça para mim ela tem menino em casa quantos eu tenho um neto aí ele sempre me chama para ir para Praça ou depois eles vão para a praça não que não tem nem brinquedo aqui tira os brinquedos dos Correios bota só coisa de ferro de passar por aqui todo dia Faço Inclusive eu faço exercício aqui com a galera lá da Verdade antigas fazia né fazia Porque nós já reclamamos já fizemos várias baixa assinada e não conseguimos e ele não fizeram nada quase todo dia eu tô aqui de olho na praça de hoje na praça acompanhando o crescimento do mato isso aí depois daquela limpeza que a prefeitura fez naquele tempo que a gente mostrou tá valendo tá bonito voltar alguma vez tu tá vendo que eu tô vendo ali pessoal daí luta aí será que é para fazer a limpeza da praça rapaz eu vou não sei não a investigar né Vamos investigar Bom dia meus irmãos tudo bem com vocês hoje o trabalho de vocês onde vai ser aqui na praça nessa praça da coleta de uma viagem agora não resolvido
"Galante, São José de Piranhas, Paraíba",Olha o calendário JPB de hoje já é penta quinta vez que a gente volta ao Distrito de Galante para cobrar a reforma de um ginásio de esportes vamos ver o resultado dessa vez chegamos calendário hoje no Distrito de Galante e isso aqui que eu vou mostrar para vocês é o ginásio do distrito Olha só você ver já veio muito mato lixo essa entrada do ginásio eu vou aproveitar aqui e falar com as meninas que já estão esperando a gente passaram 3 meses 3 meses aconteceu alguma coisa aqui nada nenhuma visita nenhuma visita nada mudou nada mudou vamos vamos ver os meninos do racha com a gente Eles tiraram um dia colocar os refletores porque nós estamos treinando né os participantes do circo em Campinas e tínhamos que entregar né aí a gente colocou os refletores para ver se ficava aqui a 6 com dinheiro de você com dinheiro próprio quando a gente chega aqui no ginásio vai mostrando da manhã por favor parece pode vir vocês também parece que é uma quadra ginásio abandonado só que vocês utilizam esse espaço vocês têm time vocês treinam vocês praticam esportes vocês querem inserir o esporte na vida de vocês não estão conseguindo aliás estão tendo que ficar nessa situação os próprios moradores que colocaram os refletores para poder jogar não é isso e o secretário que tinha prometido pelo menos as telhas e a iluminação nem isso nem isso só só promessas aqui meu compromisso de estar aqui senão para anunciar a reforma Total pelo menos para que nós possamos expor com mais segurança e quando iniciaremos ao menos essas reformas que são necessárias para que você está aqui como já está aqui aqui de forma confortável e forma segura atividade esportiva de vocês também convocou o secretário para estar aqui hoje mas não conseguiu não conseguiu porque não tem palavras para dizer para a gente né a justificativa não tem justificativa infelizmente tá abandonado né é isso só para pulação os moradores aqui estão revoltados com razão né Meninas vocês estão enfrentando isso não ver essa obra saindo nunca nunca nunca não sai só tem promessas promessas e nada resolvido 0 Galante faz parte da Paraíba Secretaria de Esporte da Paraíba Galante tem time Galante tem esporte então hoje nós precisamos do ginásio
"Mangabeira, Jardim Cidade Universitária, João Pessoa, Paraíba",calendário JPB E hoje nós vamos ao bairro de Mangabeira há 8 meses acompanhamos os moradores que lutam pela reforma do ginásio Hermes Taurino nesse tempo nem a licitação foi concluída um processo de licitação demora aproximadamente 90 dias para ficar pronto três meses mas o processo de licitação para reforma do ginásio Hermes Taurino parece que não acaba nunca o calendário JPB já acompanha essa história há 8 meses que o ginásio continua assim abandonado essa chuteira velha é só para lembrar que um dia esse espaço abrigou Esporte e Juventude porque quando a gente entra por exemplo na guarita está aqui do ginásio a gente ver o quanto esse espaço hoje é utilizado das formas mais negativas possíveis como por exemplo olha só o consumo de bebida alcoólica quando a gente entra mais a gente vê que esse espaço aqui foi todo danificado a começar pela porta a gente ver embalagem de preservativo a gente vê muita pior muita ponta de cigarro aqui o espaço que seria o banheiro todo quebrado a louça toda quebrada o mau cheiro insuportável então a gente sabe que esse espaço aqui oferece inclusive um segurança para os moradores de Mangabeira ponto de droga a gente aqui é ponto de prostituição tô fazendo ponto de prostituição aqui essas telhas quando elas vão porque algumas estão soltas mesmo quando elas vão elas são uma navalha uma guilhotina para um risco de morte para as pessoas que estão de repente passando pela calçada não tem nada a ver não do outro lado da rua ou até mesmo jogando um futebol no fim de semana no campinho com folha de alumínio voou e quase matando companheiro nosso colega de brincadeira diversão quando uma coisa dessa voar e matar alguém aí vocês vão ver o jacaré reforma no começa pelo menos que essas telhas sejam retiradas a placa que deveria estar com a informação de quando a obra começa de quando a obra termina tá todo riscado Isso é uma falta de respeito né com certeza é agora que vocês estão voltando aqui aí você começa Desde o ano passado né não Esperamos que continua né o trabalho da prefeitura porque realmente é um desgaste em vão vigia a ser construída aqui em João Pessoa Municipal ou até eventos aqui é de torneio de exatamente Mas acontece que hoje tá assim nesse sábado né isso aqui era para ter uma fábrica de atleta entendeu fazer Atleta Cidadão tá fazendo em marginais é o descaso da prefeitura com a população de Mangabeira e o carimbo é não resolvido Por que essa obra não saiu do lugar e o
"Rua Cuiabá, Grotão, João Pessoa, Paraíba, 58079-820",hora do calendário hoje a gente tá de volta ao Cuiabá numa rua que parece ter sido esquecida obra por lá na região teve mais passaram por essa rua como se ela não existisse e a comunidade claro ficou na bronca o sonho do calçamento para os moradores dessa rua aqui acabou quando eles perceberam que o calçamento iria chegar apenas para essa rua na placa existia o nome dessa rua aqui que não foi calçada E aí eles ficam se perguntando então orçamento vai ou não chegar na nossa última visita o calendário JPB descobriu que não ia que o nome na placa era só para explicar o trecho que esse calçamento aqui iria passar quem tem carro sabe o quanto é difícil passar por esses Buraquinhos assim olha só que estão espalhados pela rua aproveitar que o carro passou Olha só esse tem uma suspensão boa mas quinta dentro balança mais que tudo você falar na poeira quando não chove na lama Quando chove então assim os moradores daqui querem mesmo o calçamento para o senhor mesmo que tem dificuldade de locomoção sair de casa é complicado né difícil mesmo que o céu daqui é assim até o portão o portão para dentro de casa e olha para quem leu essa placa era difícil mesmo de compreender que esse casamento não ia passar por aqui porque quem Lia tinha certeza que esse casamento ia chegar tem um monte de gente ali na esquina só aguardando a chegada do calendário para falar mais sobre isso naquele carro vem sacudindo mais que tudo parece que tá no liquidificador de tanto que sacola na última vez Clínica Almeida foi quem teve aqui para conversar com vocês não é isso e as e informou que não existe previsão para fazer o calçamento dessa rua que os moradores teriam que procurar a reunião do orçamento participativo para que esse casamento fosse eleito como prioridade Esse é um pedido muito frequente do calendário JPB é o pedido que o calendário mais recebe todos os dias é o calçamento de rua e assim a gente percebe que a resposta da prefeitura é sempre a mesma que essas ruas precisam estar letras no participativos então assim a gente quando os moradores não participam dessas reuniões do orçamento participativo o calendário fica meio de mãos amarradas né E aí a gente precisa muito dessa cobrança de vocês para que esse calçamento chega aqui na
